,Year,Return_12M,MDD_12M,Profit
0,2019,0.5174668137386791,-0.062334528290148405,6162880.43629995
1,2020,0.9258400513246439,-0.07587575840130859,11058306.13654874
2,2021,0.4233859006735283,-0.06173746658601018,4994175.1193144275
3,2022,0.06893774325919133,-0.026164347764438906,817306.5546566081
4,2023,0.34360720864278416,-0.0809553466851339,4054981.9344020165
5,2024,0.4872969021728475,-0.10718783843346687,5823332.970198078
6,2025,0.5887834097129949,-0.11195563706920766,7011104.571280666
